policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_134.lp,1,7,0.06,0.0,optimal,0,0,0.06761890649795532,0.06762180899999848,21.999999999999993
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_135.lp,1,17,0.19,0.0,optimal,0,0,0.18447785638272762,0.18445227599999825,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_136.lp,1,5,0.05,0.0,optimal,0,0,0.046064380556344986,0.046066991,15.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_137.lp,1,18,0.16,0.0,optimal,0,0,0.15953058935701847,0.15951326500000107,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_138.lp,1,10,0.14,0.0,optimal,0,0,0.1469728872179985,0.1469767950000005,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_139.lp,1,3,0.04,0.0,optimal,0,0,0.035485170781612396,0.035487613999997336,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_140.lp,1,5,0.05,0.0,optimal,0,0,0.059024471789598465,0.05902775699999907,14.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_141.lp,1,34,0.32,0.0,optimal,0,0,0.3179239872843027,0.3178861700000013,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_142.lp,1,16,0.21,0.0,optimal,0,0,0.20736167207360268,0.20736526099999963,26.999999999999993
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_143.lp,1,17,0.2,0.0,optimal,0,0,0.21134505607187748,0.21134085999999996,29.000000000000014
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_144.lp,1,2,0.04,0.0,optimal,0,0,0.04063192382454872,0.04063367000000184,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_145.lp,1,2,0.02,0.0,optimal,0,0,0.024375878274440765,0.02437812300000175,18.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_146.lp,1,4,0.05,0.0,optimal,0,0,0.0493197962641716,0.04932193099999793,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_147.lp,1,1,0.02,0.0,optimal,0,0,0.019619625061750412,0.019622154000000336,16.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_148.lp,1,16,0.29,0.0,optimal,0,0,0.289417440071702,0.28941282999999984,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_149.lp,1,2,0.03,0.0,optimal,0,0,0.03857704438269138,0.03857983399999654,16.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_150.lp,1,4,0.05,0.0,optimal,0,0,0.05315371789038181,0.05315595500000114,27.0
